"filename", "language", "JavaScript", "MS SQL", "comment", "blank", "total"
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\brigada.controller.js", "JavaScript", 485, 0, 8, 101, 594
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\dashboard.controller.js", "JavaScript", 253, 0, 2, 29, 284
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\matricula.controller.js", "JavaScript", 267, 0, 21, 35, 323
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\pdf.controller.js", "JavaScript", 948, 0, 49, 163, 1160
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\personal.controller.js", "JavaScript", 212, 0, 3, 20, 235
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\representative.controller.js", "JavaScript", 92, 0, 4, 14, 110
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\student.controller.js", "JavaScript", 192, 0, 15, 28, 235
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\controllers\user.controller.js", "JavaScript", 771, 0, 22, 113, 906
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\db\connection.database.js", "JavaScript", 34, 0, 4, 10, 48
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\db\scrip_test.sql", "MS SQL", 0, 111, 74, 27, 212
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\db\script_escuela.sql", "MS SQL", 0, 261, 23, 37, 321
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\db\script_usability.sql", "MS SQL", 0, 94, 43, 19, 156
"\\wsl.localhost\Ubuntu\home\knyr\Projects\GESCOL-BackEnd\src\middlewares\jwt.middleware.js", "JavaScript", 144, 0, 6, 26, 176
